operator,station_count
AUTOHAUS BAUMER ABENSBERG,1
PETER EGGERS GMBH,1
TANKSTELLE WEGENER,1
TANKSTELLE KLÜVER,1
TANK AM RING,1
RUDI STROBLER,1
FIP TANKCENTER DÖRENTHE,1
BTW,1
DEPENBROCK FREIE TANKSTELLE,1
DEMO TANK,1
WATA WASCHEN & TANKEN EK.,1
BFT TANKSTELLE SCHLOSSVIPPACH,1
FREIE TANKSTELLE BÖTTCHER,1
FREIE TANKSTELLE PÖPKEN,1
TANKHOF NORSINGEN,1
ASTALLER TANK-EXPRESS,1
FREIE TANKSTELLE NEBO,1
BFT - TANKSTELLE,1
TANK & WASCHCENTER KIRCHBERG,1
FTF TANKSTELLE MULDA,1
WESTRANS 24/7,1
ST2 TANKSTELLE,1
FRITZ WAHRENERGIE GMBH & CO.KG,1
MTB / TANK-NETZ,1
REITMAYR TS,1
STB TANKSTELLE,1
AUTO SCHWEIGER,1
FREIE TANKSTELLE SCHRAMM,1
SCHNEGULA ENERGIE,1
SB ZENTRALMARKT,1
A. KUENSTLER GMBH,1
GVS,1
CITY TANK,1
FREIE TANKSTELLE ASL,1
TANKHOF KENZINGEN,1
TANKLAGER BAACK,1
FREIE TANKSTELLE DITTMANN,1
TANKSTELLE DONAUTAL,1
BFT TANKSTELLE GERSTENLAUER,1
EC-TANKSTELLE MEEMKEN,1
SCHNORBERGER,1
AUTO RIEDEL,1
TANKSTELLE AUTOHAUS KUPER GMBH & CO.KG,1
AUTOHOF FREIENBRINK,1
FREIE TANKSTELLE HÜNDL,1
FREIE TANKSTELLE CINAR,1
BHG TANKSTELLE GMBH,1
BFT MIROLD,1
SCHOPP TANKSTELLE TÜBINGEN,1
SBT,1
HUBERT THIELE GMBH,1
S.M.T. GMBH,1
TANKSTELLE HIRSE,1
TANKSTELLE SCHREYER,1
TANKSTELLE KIRCHDORF,1
TANKSTELLE KLAESER,1
AUTOHAUS KAISER GMBH,1
LANDTANKSTELLE,1
WASSERTANKSTELLE,1
WINKLER24H,1
KÜHLING TANKSTELLE,1
MINERALÖLVERTRIEB NOEKE GMBH,1
BÖTTCHER ENERGIE,1
AUTOHAUS SCHNEEBERGER GMBH & CO. KG,1
REWE-TANKSTELLE,1
FREIE TANKSTELLE LIMMER,1
GLOBUS BAUMARKT WITTLICH,1
TURBO,1
CLASSIC TANKSTELLE WIRTH,1
HIRSCHMANN,1
FREIE TANKSTELLE BAUMANN,1
AUTO-KOHLER,1
FREIE TANKSTELLE NIEDERL,1
RAIFFEISEN TANKVERBUND GMBH,1
VORTEIL-CENTER,1
BFT-TANKSTELLE VOGL,1
RAIFFEISEN TUNGELN,1
DRIVERS INN TANKSTELLE,1
T (SUPERMARKT TS),1
AUTOHAUS ANDRE,1
GES GREFRATHER ENERGIE,1
LANDHANDEL NIEHUES,1
K1 TANSTELLE,1
EICHHORN AG,1
FREIE TANKSTELLE SCHÖLLMANN,1
FREIE TANKSTELLE KEMPER,1
AUTO GERBAULET,1
TANKSTELLE AUTOHAUS HUTTER ROH,1
B-STATION,1
24H TANKEN,1
TANKSTELLE PFLEFKA,1
TANK- UND WASCHCENTER BSB IN BERSENBRÜCK,1
GEORG HEINLEIN GMBH (FT),1
TANK UND WASCHSERVICE SCHUCH,1
TANKSTELLE SCHLÖGL,1
ZENTRAL TANK,1
TANKSTELLE HOCHSPEYER 24H,1
TREND TANK GMBH,1
EICHELE FREIE TANKSTELLE,1
DAS AUTO E.K.,1
TANKSTELLE STETTNER,1
FREIE TANKSTELLE EHMANN,1
TANKSTELLE ZENS GMBH,1
HAUSER.TANKSTELLE,1
FREIE TANKSTELLE FRANK ZILLER E.K.,1
MTB-WECKERLE,1
SB-TANKSTELLE,1
FREIE TANKSTELLE BISSLICH,1
TANKSTELLE BREY,1
TANKSTELLE AM KIEBITZMARKT,1
AUTOFIT FREIE TANKSTELLE,1
SCHLICKER TRANSPORT GMBH,1
TANKSTELLE TEUCHERN,1
GAP PETROL STATION,1
BFT SENG HATTENHOF,1
TANKSTELLE AM WASCHPARK,1
BFT TANKSTELLE WEDDING E.K.,1
EXPRESS TANK,1
LUDWIG MINERALÖLE,1
RM KRAFTSTOFFE,1
TANKSTELLE SCHLOTTER,1
FREIE TANKSTELLE FAISTENHAAR,1
FREIE TANKSTELLE BÖRDEGRÜN,1
JOSEF HÖCKELMANN KG,1
PT TANKSTELLE BECKER,1
AUTO CLAASSEN GMBH,1
CARL MENNER,1
KFZ STIEBITZ,1
MTB TANKSTELLE SAARBRÜCKEN,1
BEHRINGER 24H TS,1
STORZ HEIZTECHNIK,1
FREIE TANKSTELLE DILL,1
AGROSERVICE TANKSTELLE WALDENBURG,1
FREIE TANKSTELLE SCHMELZER,1
FELDHAUS ENERGIE,1
TANKSTELLE OBERSTADION,1
JAY TANKSTELLE,1
TANKEN & WASCHEN HAAS,1
SH TANKSTELLE S. HIRLAK,1
FREIE TANKSTELLE WAGNER,1
FREIE TANKSTELLE PIPER,1
TANKSTELLE MARCO GAUBIG,1
HOTH - FREIE TANKSTELLE,1
FTA TANKSTELLE LEPPERSDORF,1
SCHMID & ZIMMERMANN,1
TANKSTELLE & ESPRESSOBAR NARDI,1
MGS TANKSTELLE,1
BSB BENZINKONTOR GMBH & CO. KG,1
BFT - TANKSTELLE LAUBACH,1
EBERHARDT HAMBRÜCKEN,1
FREIE TANKSTELLE SALEWSKI,1
TANKSTELLE MAHLSTETTEN,1
SB TANKEN 24H,1
BFT DOBNER,1
KNIES + LAGOTKA TANKPOOL24,1
KFZ-SERVICE SCHNEIDER,1
SB-SERVICE-STATION DETTMER,1
ZAHRADNIK GMBH,1
AUTO-WISSLER,1
LÖLFIN,1
NORDGARAGE 24H,1
FREIE TANKSTELLE HUBER,1
FREIE TANKSTELLE HIRSCHMANN,1
TANKSTELLE DREYER,1
UNGER + GUTHIER GMBH,1
FREIE TANKSTELLE AUTOHAUS HÖRL GMBH,1
FREIETANKSTELLE STRATMANN,1
TANKHOF LENGENFELD,1
AUTO HUBER,1
FREIE TANKSTELLE AUTOHAUS KNIEPER GMBH,1
SB-TANKEN HERGET,1
TANKSTELLE KUHN,1
TANKSTELLE-REILMANN,1
CH-TANK,1
KFZ-WERKSTATT U. TANKSTELLE WINKLER,1
VÖSSING-AUTOMOBILE,1
FREIE TANKSTELLE BEHRENDS,1
TANKSTATION OESPEL 6-22H,1
KRÄMER,1
KLEMM,1
TANKSTELLE AM KRAFTWERK,1
AUTO WAHL SPORT OHG,1
BAUER OELZAPF MINERALÖLVERTRIEB GMBH,1
K U. W TANKSTELLE GBR,1
P&K TANK-UND DL GMBH,1
FREIE FALDERA TANKSTELLE GÜNZEL,1
AUTOHAUS WANKMÜLLER GMBH,1
WURZER R. - FREIE TANKSTELLE,1
SUPERMARKT C&C,1
WK TANK BERKATAL,1
EDEKA BRAUN TANKSTELLE,1
FREIE TANKSTELLE FELDSTETTEN,1
TANKSTELLE DENNER,1
NUTTELMANN TANKSERVICE,1
FREIE TANKSTELLE HERBERT KLINK,1
DEGLMANN TANKCENTER,1
TSR - ROSSI,1
STEIGERWALDMOBILE,1
TANKSTATION STRUTHÜTTEN 24/7,1
AGTEN FREIE TANKSTELLE,1
GRAF,1
BEHRINGER TANKSTELLE,1
METZ GMBH,1
RHEINLAND ENERGIE MONSCHE,1
BFT WILSTACKE + GROWE,1
ROSSNAGEL TANKSTELLE,1
SCHMID TANK- UND WASCHCENTER,1
RAIFFEISEN HG LICHTE EG,1
SCHAFFERS BRENNSTOFFHANDELS GMBH,1
MR TANKSTELLE,1
FREIE TANKSTELLE K&K,1
SUPERMARKT TANKSTELLE,1
TANKSTELLE AUTOHAUS MEINERS,1
HAISCH-TANK,1
SMH GMBH,1
EMOVA,1
S-TANK LANGENPETTENBACH,1
TANKTREFF KREMPERHEIDE,1
FREIE TANKSTELLE LENTE CENTER,1
FREIE TANKSTELLE E. WIPPENHOHN E.K.,1
OTTO HATTENDORF GMBH,1
UNSIN TANKSTELLE,1
FREIE TANKSTELLE HARTMUT WREDE,1
AUTOHAUS SCHMIDT,1
ROTH,1
AUTOHAUS HUBER - FREIE TANKSTELLE,1
TECKLENBURG TANKSTELLE,1
BFT TANKSTELLE FINDER,1
RAIFFEISEN BENTHULLEN,1
AUTOHAUS KÖNIG,1
FREIE TANKSTELLE RABENECK,1
STRELAPARK TANK,1
TANKSTELLE KLINGER,1
AUTOHAUS RICHT OHG,1
Q1 SCHERER,1
BFT PIEPER,1
ADAMS,1
